date,Apple,Amazon,Google,Microsoft,Tesla,"('date', '')",positive_sentiment,negative_sentiment,total_sentiment
5/26/2015,32.40499878,425.4700012,532.3200073,46.59000015,49.49200058,5/26/2015,0.13625,0.062625,0.09536875
5/27/2015,33.00999832,431.4200134,539.789978,47.61000061,49.48600006,5/27/2015,0.117611111,0.060166667,0.074422222
5/28/2015,32.94499969,426.5700073,539.7800293,47.45000076,50.29000092,5/28/2015,0.166222222,0.049444444,0.074511111
5/29/2015,32.56999969,429.230011,532.1099854,46.86000061,50.15999985,5/29/2015,0.010664179,0.005156716,0.006397015
6/1/2015,32.63499832,430.9200134,533.9899902,47.22999954,49.88999939,6/1/2015,0.041466667,0.043733333,-0.01356
6/2/2015,32.49000168,430.9899902,539.1799927,46.91999817,49.66999817,6/2/2015,0.07962069,0.016655172,0.099462069
6/3/2015,32.52999878,436.5899963,540.3099976,46.84999847,49.79800034,6/3/2015,0.074888889,0.012166667,0.10295
6/4/2015,32.34000015,430.7799988,536.7000122,46.36000061,49.18399811,6/4/2015,0.09296,0.0844,0.004044
6/5/2015,32.16249847,426.9500122,533.3300171,46.13999939,49.82799911,6/5/2015,0.043714286,0.047571429,-0.009314286
6/8/2015,31.95000076,423.5,526.8300171,45.72999954,51.25799942,6/8/2015,0.129470588,0.097,0.087964706
6/9/2015,31.85499954,425.480011,526.6900024,45.65000153,51.20000076,6/9/2015,0.061944444,0.067722222,-0.006561111
6/10/2015,32.22000122,430.769989,536.6900024,46.61000061,50.13999939,6/10/2015,0.098615385,0.033038462,0.098919231
6/11/2015,32.14749908,432.9700012,534.6099854,46.43999863,50.2820015,6/11/2015,0.045,0.042714286,-0.017447619
6/12/2015,31.79249954,429.9200134,532.3300171,45.97000122,50.13800049,6/12/2015,0.012536232,0.017521739,-0.001598551
6/15/2015,31.72999954,423.6700134,527.2000122,45.47999954,50.07600021,6/15/2015,0.097727273,0.060818182,0.070181818
6/16/2015,31.89999962,427.2600098,528.1500244,45.83000183,50.62400055,6/16/2015,0.134117647,0.053588235,0.115158824
6/17/2015,31.82500076,427.8099976,529.2600098,45.97000122,52.08200073,6/17/2015,0.1498,0.0486,0.188453333
6/18/2015,31.96999931,439.3900146,536.7299805,46.72000122,52.37799835,6/18/2015,0.130545455,0.052636364,0.134609091
6/19/2015,31.64999962,434.9200134,536.6900024,46.09999847,52.5019989,6/19/2015,0.145444444,0.024166667,0.119227778
6/22/2015,31.90250015,436.2900085,538.1900024,46.22999954,51.95800018,6/22/2015,0.09,0.1001875,-0.02975625
6/23/2015,31.75749969,445.9899902,540.4799805,45.90999985,53.5340004,6/23/2015,0.055347826,0.112086957,-0.047782609
6/24/2015,32.02750015,440.8399963,537.8400269,45.63999939,53.0340004,6/24/2015,0.108384615,0.078153846,0.0312
6/25/2015,31.875,440.1000061,535.2299805,45.65000153,53.75799942,6/25/2015,0.098714286,0.094214286,0.000735714
6/26/2015,31.6875,438.1000061,531.6900024,45.25999832,53.41799927,6/26/2015,0.1522,0.0981,0.00241
6/29/2015,31.13249969,429.8599854,521.5200195,44.36999893,52.40399933,6/29/2015,0.04915,0.062,-0.021775
6/30/2015,31.35750008,434.0899963,520.5100098,44.15000153,53.65200043,6/30/2015,0.135583333,0.053041667,0.140129167
7/1/2015,31.64999962,437.3900146,521.8400269,44.45000076,53.83000183,7/1/2015,0.1374375,0.1026875,0.07513125
